 time            vgs_fr          time            vds_fr         
 3.26280000e-06  7.16967677e-01  3.26280000e-06  5.91766933e-01 
 3.27280000e-06  7.16897563e-01  3.27280000e-06  5.91912683e-01 
 3.28280000e-06  7.16788388e-01  3.28280000e-06  5.92409355e-01 
 3.29280000e-06  7.16640583e-01  3.29280000e-06  5.93254822e-01 
 3.30280000e-06  7.16454731e-01  3.30280000e-06  5.94445594e-01 
 3.31280000e-06  7.16231566e-01  3.31280000e-06  5.95976823e-01 
 3.32280000e-06  7.15971967e-01  3.32280000e-06  5.97842330e-01 
 3.33280000e-06  7.15676961e-01  3.33280000e-06  6.00034622e-01 
 3.34280000e-06  7.15347710e-01  3.34280000e-06  6.02544915e-01 
 3.35280000e-06  7.14985515e-01  3.35280000e-06  6.05363173e-01 
 3.36280000e-06  7.14591804e-01  3.36280000e-06  6.08478135e-01 
 3.37280000e-06  7.14168133e-01  3.37280000e-06  6.11877357e-01 
 3.38280000e-06  7.13716171e-01  3.38280000e-06  6.15547260e-01 
 3.39280000e-06  7.13237705e-01  3.39280000e-06  6.19473176e-01 
 3.40280000e-06  7.12734621e-01  3.40280000e-06  6.23639408e-01 
 3.41280000e-06  7.12208904e-01  3.41280000e-06  6.28029284e-01 
 3.42280000e-06  7.11662631e-01  3.42280000e-06  6.32625231e-01 
 3.43280000e-06  7.11097957e-01  3.43280000e-06  6.37408842e-01 
 3.44280000e-06  7.10517109e-01  3.44280000e-06  6.42360950e-01 
 3.45280000e-06  7.09922382e-01  3.45280000e-06  6.47461715e-01 
 3.46280000e-06  7.09316121e-01  3.46280000e-06  6.52690701e-01 
 3.47280000e-06  7.08700719e-01  3.47280000e-06  6.58026969e-01 
 3.48280000e-06  7.08078605e-01  3.48280000e-06  6.63449168e-01 
 3.49280000e-06  7.07452235e-01  3.49280000e-06  6.68935624e-01 
 3.50280000e-06  7.06824080e-01  3.50280000e-06  6.74464439e-01 
 3.51280000e-06  7.06196619e-01  3.51280000e-06  6.80013581e-01 
 3.52280000e-06  7.05572329e-01  3.52280000e-06  6.85560988e-01 
 3.53280000e-06  7.04953673e-01  3.53280000e-06  6.91084652e-01 
 3.54280000e-06  7.04343093e-01  3.54280000e-06  6.96562722e-01 
 3.55280000e-06  7.03742998e-01  3.55280000e-06  7.01973591e-01 
